model,factor,level,coef,relativity,std_err,z,p_value,is_base,degenerate
severity,BonusMalusBand,101-150,0.08344310995932452,1.0870233727298912,0.0670876190323067,1.2437929853963319,0.213575762721956,False,False
severity,VehBrand,B10,0.0772329929929982,1.0802937479462589,0.08198850147579655,0.941997860709746,0.34619373518148844,False,False
severity,VehBrand,B11,0.04363294042122677,1.0445988544934854,0.08770976735661702,0.4974695719328573,0.6188579551416582,False,False
severity,VehBrand,B12,0.04311113350573603,1.044053917775536,0.047310404147734526,0.9112400175469738,0.3621689231809738,False,False
severity,VehBrand,B13,0.06804261067938136,1.0704109184434838,0.09413594639041686,0.7228122018042213,0.46979526985186815,False,False
severity,VehBrand,B14,-0.1767043919186368,0.8380274756056407,0.18119173311174214,-0.9752342939932145,0.329444054640204,False,False
severity,VehBrand,B2,0.006393964598248279,1.0064144496267993,0.036182505565682935,0.17671425729877022,0.8597328414224377,False,False
severity,VehBrand,B3,0.0033277396490064837,1.003333282721521,0.050105863683687885,0.06641417599373384,0.9470480843103103,False,False
severity,VehBrand,B4,0.011924753560000875,1.0119961368944372,0.068571808432345,0.17390169273085737,0.8619427222934894,False,False
severity,VehBrand,B5,0.006663240155946326,1.0066854889294898,0.05811408499514856,0.11465792082078867,0.908716268208342,False,False
severity,VehBrand,B6,-0.07581011610625701,0.9269922107391185,0.06484549372351131,-1.169088424702212,0.24236800707774875,False,False
severity,VehGas,Regular,0.013920169203171476,1.0140175058817693,0.027931914189962718,0.4983607320465585,0.618229808914204,False,False
severity,Region,Aquitaine,0.2123758978774165,1.2366126377889837,0.235090558881118,0.9033791016031912,0.3663247275727096,False,False
severity,Region,Auvergne,-0.0861358495848687,0.9174695848915295,0.28811319671368707,-0.2989653044961572,0.764966518503208,False,False
severity,Region,Basse-Normandie,0.17812658922662442,1.194976582822009,0.24656599784650596,0.7224296568966215,0.47003035885814215,False,False
severity,Region,Bourgogne,0.25262958982561146,1.287406320105732,0.25224654509235106,1.0015185331205236,0.31657618471460003,False,False
severity,Region,Bretagne,0.22508159658959304,1.2524249056236734,0.23134995145292045,0.972905311524982,0.33060036488112376,False,False
severity,Region,Centre,0.1787743276175578,1.1957508657702927,0.2281131358467117,0.7837090439968841,0.43321085454509345,False,False
severity,Region,Champagne-Ardenne,-0.05971225464361095,0.942035560947162,0.3274568368532586,-0.1823515282729292,0.85530686278638,False,False
severity,Region,Corse,0.4414695481216775,1.5549906739006631,0.29175518372797454,1.5131506576187965,0.13024139445396765,False,False
severity,Region,Franche-Comte,0.4242819348760878,1.5284924683765886,0.42075631987198264,1.0083792324383336,0.3132724389127046,False,False
severity,Region,Haute-Normandie,0.04796361081257661,1.049132477551488,0.2678095195074261,0.1790959891970779,0.8578623312494301,False,False
severity,Region,Ile-de-France,0.12949052047570336,1.1382483213590244,0.23147330594281335,0.5594188061913915,0.5758759295966605,False,False
severity,Region,Languedoc-Roussillon,0.3051386190719696,1.356813070139696,0.2354609035597001,1.2959205305801564,0.19500286520863663,False,False
severity,Region,Limousin,-0.005964313284576486,0.9940534379231135,0.2733052687346232,-0.0218228990322458,0.9825892277490808,False,False
severity,Region,Midi-Pyrenees,0.09388431242440565,1.09843266355459,0.25127492175115995,0.3736318442370473,0.7086782387823458,False,False
severity,Region,Nord-Pas-de-Calais,0.21421402074319063,1.2388877741040678,0.2326878800238961,0.9206066973543775,0.3572558042970433,False,False
severity,Region,Pays-de-la-Loire,0.18724281576176005,1.205920065902007,0.23204505426323144,0.806924398178951,0.41971004122271705,False,False
severity,Region,Picardie,0.12549601755578926,1.1337106540121056,0.25468134885672267,0.4927570005387013,0.6221842966980986,False,False
severity,Region,Poitou-Charentes,0.13679318709194774,1.1465909941801011,0.23841178350895437,0.5737685657924286,0.5661244228719909,False,False
severity,Region,Provence-Alpes-Cotes-D'Azur,0.347054166632491,1.4148933633036245,0.22922678933373117,1.5140209730338936,0.13002052024043304,False,False
severity,Region,Rhone-Alpes,0.18628509644113786,1.2047656858300515,0.2282820979303019,0.8160302456043382,0.4144828372236631,False,False
severity,LogDensity,+1 log(Density),0.022546864782498757,1.0228029664798315,0.031068403593458534,0.7257168754961716,0.4680123542963053,False,False
severity,Area,A,0.0,1.0,,,,True,False
severity,VehPowerBand,4-,0.0,1.0,,,,True,False
severity,VehAgeBand,0,0.0,1.0,,,,True,False
severity,DrivAgeBand,18-20,0.0,1.0,,,,True,False
severity,BonusMalusBand,50,0.0,1.0,,,,True,False
severity,VehBrand,B1,0.0,1.0,,,,True,False
severity,VehGas,Diesel,0.0,1.0,,,,True,False
severity,Region,Alsace,0.0,1.0,,,,True,False
